Name,Bezugseinheit,"Energie, Kilojoule (kJ)","Energie, Kalorien (kcal)","Fett, total (g)","Fettsäuren, gesättigt (g)","Fettsäuren, einfach ungesättigt (g)","Fettsäuren, mehrfach ungesättigt (g)",Cholesterin (mg),"Kohlenhydrate, verfügbar (g)",Zucker (g),Stärke (g),Nahrungsfasern (g),Protein (g),Salz (NaCl) (g),Wasser (g),,,,,,,,,,,,,,,,,,,,,Phosphor (P) (mg),Eisen (Fe) (mg),Jod (I) (µg),Zink (Zn)  (mg),Selen (Se) (µg)
"Olive, gefüllt mit Hackfleisch, frittiert",pro 100g essbarer Anteil,1370,328,15.1,3.2,9.1,1.8,47,32.8,2.1,30.6,3.2,13.1,1.5,35.9,,,,,,,,,,,,,,,,,,,,,130,1.1,8.1,1.5,k.A.
"Olive, grün, in Salzlake, abgetropft",pro 100g essbarer Anteil,632,154,15.7,2.3,11.1,1.5,0,Sp.,Sp.,0,3.6,1.3,3.2,75.8,,,,,,,,,,,,,,,,,,,,,6.7,0.2,2,0.1,0
"Olive, schwarz",pro 100g essbarer Anteil,722,176,17.2,2.1,10.2,1.5,0,0.8,0.8,0,6.2,1.4,1.8,74.9,,,,,,,,,,,,,,,,,,,,,7.9,8.5,4.5,0.1,k.A.
Olivenöl,pro 100 ml,3330,810,90,10.7,67.7,6.7,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1.8,0.1,0.1,0,0
"Orange, roh",pro 100g essbarer Anteil,185,44,0.2,Sp.,Sp.,Sp.,0,8.6,8.6,0,1.8,1,0,86.6,,,,,,,,,,,,,,,,,,,,,16,0.1,0.9,0.1,k.A.
Orangeat,pro 100g essbarer Anteil,1300,306,0.3,0.1,0.1,0.1,0,74.3,74.3,0,2.3,0.4,0,21.5,,,,,,,,,,,,,,,,,,,,,7,0.3,0.5,0.1,k.A.
Orangennektar,pro 100 ml,185,44,0,Sp.,Sp.,Sp.,0,10.5,10.5,0,0.1,0.4,0,88.2,,,,,,,,,,,,,,,,,,,,,10,0.1,2,0.1,k.A.
Orangensaft,pro 100 ml,216,51,0.5,Sp.,Sp.,Sp.,0,11.1,11.1,0,0.1,0.5,0,86.6,,,,,,,,,,,,,,,,,,,,,16,0.2,2.1,0.1,k.A.
"Orangensaft, angereichert mit Vitamin C",pro 100 ml,232,55,0.5,Sp.,Sp.,Sp.,0,12,12,0,0.1,0.5,0,85.6,,,,,,,,,,,,,,,,,,,,,16,0.2,2.1,0.1,k.A.
Palmöl - Palmfett,pro 100 ml,3290,799,88.8,41.3,34.9,8.7,0,0,0,0,0,0,0,1.2,,,,,,,,,,,,,,,,,,,,,0.9,0,Sp.,0,0
Pancetta,pro 100g essbarer Anteil,1930,467,43,14.4,18.9,6.6,80,0.4,Sp.,Sp.,0,19.5,4.6,33,,,,,,,,,,,,,,,,,,,,,84,0.8,Sp.,1.9,k.A.
Panettone,pro 100g essbarer Anteil,1490,354,10.7,5.6,3.2,0.7,112,56.5,22.9,33.6,2.8,6.4,0.1,26.9,,,,,,,,,,,,,,,,,,,,,130,3,k.A.,0.6,k.A.
Paniermehl,pro 100g essbarer Anteil,1580,373,2.1,0.5,0.3,0.7,0,73.5,4.4,69.1,4.5,12.7,1,6.8,,,,,,,,,,,,,,,,,,,,,100,1.2,2.8,0.9,k.A.
Pantli,pro 100g essbarer Anteil,2280,553,51.4,20.1,24.4,4.4,87,0.9,0.9,0,0,21.7,4,26,,,,,,,,,,,,,,,,,,,,,180,1.7,0.8,3.2,k.A.
"Papaya, reif, roh",pro 100g essbarer Anteil,188,44,0.1,0,0,0,0,9.5,9.5,0,1.8,0.5,0,87.9,,,,,,,,,,,,,,,,,,,,,9,0.2,0.1,0.1,0.9
Paprika (Gewürz),pro 100g essbarer Anteil,1490,358,13,2.1,1.2,8.4,0,34.9,33.2,1.7,20.9,14.8,0.1,9.3,,,,,,,,,,,,,,,,,,,,,350,24,5,4.1,k.A.
Paranuss,pro 100g essbarer Anteil,2880,698,66.5,16.1,23.9,24.4,0,4.2,2.3,0.3,7.5,17,0,3.4,,,,,,,,,,,,,,,,,,,,,650,2.4,5,4.3,230
Pariserbrot,pro 100g essbarer Anteil,1080,255,0.9,0.2,0.1,0.5,0,51.2,0.5,50.1,2.9,9,1.6,36.8,,,,,,,,,,,,,,,,,,,,,81,0.9,1,0.7,2.7
Parmesan,pro 100g essbarer Anteil,1670,401,31,20.6,7.2,1,77,Sp.,Sp.,0,0,30.5,1.6,31.4,,,,,,,,,,,,,,,,,,,,,800,0.7,40,4,k.A.
"Passionsfrucht, roh",pro 100g essbarer Anteil,387,92,0.5,0.1,0.1,0.2,0,11.8,11.2,0.6,10.6,2.2,0.1,72.9,,,,,,,,,,,,,,,,,,,,,68,1.6,1.3,0.3,k.A.
"Pastinake, gekocht (ohne Zugabe von Salz)",pro 100g essbarer Anteil,247,58,0.4,0.1,0,0.2,0,11.4,2.9,8.5,2.1,1.2,0,84.9,,,,,,,,,,,,,,,,,,,,,78,0.6,3.4,0.7,1.6
"Pastinake, roh",pro 100g essbarer Anteil,260,62,0.4,0.1,0,0.3,0,12.1,3.1,9,2.1,1.3,0,81.8,,,,,,,,,,,,,,,,,,,,,82,0.7,3.6,0.9,1.7
Pâté de campagne,pro 100g essbarer Anteil,1620,391,36.9,13.6,16.8,4.2,119,1,0.8,0.2,0.1,13.1,2.2,48.6,,,,,,,,,,,,,,,,,,,,,150,4.2,4.7,2.3,k.A.
"Peperoni, grün, gedünstet (ohne Zugabe von Fett und Salz)",pro 100g essbarer Anteil,104,25,0.4,0.1,0,0.2,0,3.2,3.1,0.1,2.5,1,0,93,,,,,,,,,,,,,,,,,,,,,19,0.3,2.5,0.2,k.A.
"Peperoni, grün, roh",pro 100g essbarer Anteil,85,20,0.3,0.1,0,0.2,0,2.6,2.5,0.1,2,0.8,0,92.9,,,,,,,,,,,,,,,,,,,,,15,0.3,2,0.2,k.A.
"Peperoni, rot, gedünstet (ohne Zugabe von Fett und Salz)",pro 100g essbarer Anteil,163,39,0.4,0.1,0,0.2,0,6.4,6.2,0.1,2.5,1.1,0,89.6,,,,,,,,,,,,,,,,,,,,,25,0.4,1.3,0.3,k.A.
"Peperoni, rot, roh",pro 100g essbarer Anteil,133,32,0.4,0.1,0,0.1,0,5.2,5.1,0.1,2,0.9,0,91.3,,,,,,,,,,,,,,,,,,,,,20,0.4,1,0.3,k.A.
"Pestosauce, grün",pro 100g essbarer Anteil,1770,430,42.5,6.5,16.6,17.6,18,6.6,3.2,1.9,2.5,3.9,2.7,39,,,,,,,,,,,,,,,,,,,,,94,0.6,4,0.7,4
"Pestosauce, rot",pro 100g essbarer Anteil,1640,398,35.8,4.9,15.8,13.2,5,10.8,7.1,1.1,5,5.7,2.1,38.7,,,,,,,,,,,,,,,,,,,,,140,2,3.4,1,k.A.
"Petersilie, roh",pro 100g essbarer Anteil,245,58,0.5,0.1,0,0.2,0,7.4,4.8,2.6,4.3,3.9,0.1,82.1,,,,,,,,,,,,,,,,,,,,,110,5.9,3.4,0.8,k.A.
Petit Beurre,pro 100g essbarer Anteil,1820,431,12.4,7.1,2.8,1,33,70.2,20.6,49.1,2.3,8.7,0.5,7.2,,,,,,,,,,,,,,,,,,,,,90,1.1,1.9,0.8,1.7
Petit Beurre mit Schokolade,pro 100g essbarer Anteil,2020,482,21.3,12.9,6.5,1.1,23,63.8,37.2,25.8,2.1,7.7,0.5,5.5,,,,,,,,,,,,,,,,,,,,,160,1.6,9.1,1.2,k.A.
"Petit Beurre, Vollkorn",pro 100g essbarer Anteil,1790,426,12.7,7.1,2.8,1.4,33,65.3,17.3,47.8,6,9.6,0.6,7.1,,,,,,,,,,,,,,,,,,,,,190,2.8,2.5,1.8,3.2
"Pfefferminze, roh",pro 100g essbarer Anteil,205,49,0.7,0.1,0,0.4,0,5.3,5.2,0.1,3,3.8,0,86.1,,,,,,,,,,,,,,,,,,,,,75,9.5,4,1.2,k.A.
"Pferd, Filet, gebraten (ohne Zusatz von Fett und Salz)",pro 100g essbarer Anteil,547,129,2,0.9,0.9,0.1,71,0,0,0,0,27.8,0.1,70.2,,,,,,,,,,,,,,,,,,,,,220,6.2,1.4,4,k.A.
"Pferd, Filet, roh",pro 100g essbarer Anteil,433,102,1.9,0.9,0.8,0.1,52,0,0,0,0,21.4,0.1,74.8,,,,,,,,,,,,,,,,,,,,,190,4.7,1,2.9,k.A.
"Pferderagout mit Sauce, zubereitet",pro 100g essbarer Anteil,370,88,3.1,0.6,2,0.3,30,3,1.5,1.5,0.6,11.8,0.8,81.6,,,,,,,,,,,,,,,,,,,,,87,2.8,1.1,1.6,k.A.
"Pfirsich, gezuckert (Konserve)",pro 100g essbarer Anteil,320,75,0.2,0,0.1,0.1,0,17.2,17.2,0,1.4,0.4,0,80.7,,,,,,,,,,,,,,,,,,,,,14,0.3,2.6,0.1,k.A.
"Pfirsich, roh",pro 100g essbarer Anteil,204,48,0.3,0,0.1,0.1,0,10,10,0,2,0.5,0,87,,,,,,,,,,,,,,,,,,,,,19,0.4,2.9,0.1,k.A.
"Pfirsich, ungezuckert (Konserve)",pro 100g essbarer Anteil,166,39,0.3,0,0.1,0.1,0,8,8,0,1.6,0.5,0,89.7,,,,,,,,,,,,,,,,,,,,,15,0.4,2.9,0.1,k.A.
"Pflaume, gedünstet, abgetropft (ohne Zugabe von Zucker)",pro 100g essbarer Anteil,203,48,0.2,0,0,0.1,0,10.1,8.7,0,1.6,0.7,0,87.5,,,,,,,,,,,,,,,,,,,,,17,0.3,1.7,0.1,k.A.
"Pflaume, getrocknet",pro 100g essbarer Anteil,858,204,0.3,0,0.2,0.1,0,39.8,39.8,0,16,2.5,0,39,,,,,,,,,,,,,,,,,,,,,95,2.9,0.8,0.3,k.A.
"Pflaume, roh",pro 100g essbarer Anteil,203,48,0.2,0,0,0.1,0,10.2,8.8,0,1.6,0.6,0,83.7,,,,,,,,,,,,,,,,,,,,,17,0.3,1.4,0.1,k.A.
"Pflaumenkuchen, hausgemacht, gebacken (mit Blätterteig)",pro 100g essbarer Anteil,583,139,6.5,1.9,2.8,1.2,18,16.9,7.6,8.3,1.4,2.7,0.3,72.7,,,,,,,,,,,,,,,,,,,,,38,0.3,3.9,0.2,k.A.
"Pflaumenkuchen, hausgemacht, gebacken (mit Kuchenteig)",pro 100g essbarer Anteil,579,138,5.9,1.7,2.5,1.1,18,17.7,7.6,9.1,1.5,2.9,0.2,72.2,,,,,,,,,,,,,,,,,,,,,46,0.5,3.9,0.3,k.A.
"Pilz (Durchschnitt), gedünstet (ohne Zugabe von Fett und Salz)",pro 100g essbarer Anteil,142,34,0.4,0.1,0,0.2,0,0.7,0.2,0.1,6,3.9,0,90.2,,,,,,,,,,,,,,,,,,,,,110,2.5,10,0.8,k.A.
"Pilz (Durchschnitt), roh",pro 100g essbarer Anteil,122,29,0.4,0.1,0,0.2,0,0.6,0.2,0.1,4.9,3.5,0,91.7,,,,,,,,,,,,,,,,,,,,,99,2.4,8.7,0.8,k.A.
"Pilzrisotto, gekocht",pro 100g essbarer Anteil,538,128,3.8,1.9,1.4,0.3,7,18.5,0.6,16.9,1.5,4.1,0.5,72.4,,,,,,,,,,,,,,,,,,,,,81,0.2,3.3,0.6,k.A.
"Pilzsauce, gebunden",pro 100g essbarer Anteil,547,132,8.9,5.4,2.1,0.5,28,8.5,4,4.4,0.7,3.9,0.6,78.1,,,,,,,,,,,,,,,,,,,,,90,0.1,8.7,0.5,k.A.
Pilzsuppe,pro 100g essbarer Anteil,160,38,1.2,0.5,0.2,0.5,0,5.5,2,3.5,0.5,1.1,0.9,90.2,,,,,,,,,,,,,,,,,,,,,36,0.2,4.9,0.3,k.A.
Pinienkerne,pro 100g essbarer Anteil,2840,688,61.9,4.3,15.7,25.7,0,13,4.9,5,6.3,16.5,0,2.2,,,,,,,,,,,,,,,,,,,,,690,6.5,11,5.8,1
Pistazie,pro 100g essbarer Anteil,2460,594,45.4,5.6,23.8,13.7,0,17.6,7.7,1.7,10,23.8,0,3.9,,,,,,,,,,,,,,,,,,,,,470,2.8,5,3.3,6.8
"Pizza al tonno, gebacken",pro 100g essbarer Anteil,948,226,7.6,3,3.4,0.6,17,26.5,1.3,24.9,1.5,12,0.8,52.7,,,,,,,,,,,,,,,,,,,,,130,0.6,1.9,0.9,k.A.
"Pizza Calzone, gebacken",pro 100g essbarer Anteil,940,224,7.7,3,3.5,0.6,16,26.5,1.4,24.9,1.5,11.4,0.9,53.2,,,,,,,,,,,,,,,,,,,,,150,0.5,2.4,1.1,k.A.
"Pizza Hawaii, gebacken",pro 100g essbarer Anteil,819,195,6.3,2.5,2.9,0.5,13,24.2,3.5,20.5,1.5,9.5,0.7,58.7,,,,,,,,,,,,,,,,,,,,,130,0.5,2,0.9,k.A.
"Pizza Margherita, gebacken",pro 100g essbarer Anteil,1000,238,8.4,3.3,3.8,0.7,12,29.9,1.5,28.1,1.7,9.9,0.7,50.4,,,,,,,,,,,,,,,,,,,,,130,0.5,2.1,1,k.A.
"Pizza mit Gemüse, gebacken",pro 100g essbarer Anteil,523,124,3.1,1.2,1.4,0.4,4,17.4,1.7,15.4,1.9,5.7,0.4,72.2,,,,,,,,,,,,,,,,,,,,,80,0.8,6.1,0.6,k.A.
"Pizza mit Mascarpone und Rucola, gebacken",pro 100g essbarer Anteil,1000,239,9.8,4.4,4,0.7,16,27.6,1.7,25.7,1.6,9.4,0.7,51.9,,,,,,,,,,,,,,,,,,,,,120,0.6,3.3,0.9,k.A.
"Pizza Prosciutto e Funghi, gebacken",pro 100g essbarer Anteil,857,204,6.9,2.7,3.1,0.6,14,23.9,1.3,22.4,1.6,10.7,0.8,57.3,,,,,,,,,,,,,,,,,,,,,150,0.6,4.3,1,k.A.
"Pizza Prosciutto, gebacken",pro 100g essbarer Anteil,917,218,6.4,2.2,3.2,0.6,13,28.7,1.4,26.9,1.6,10.6,0.9,53.1,,,,,,,,,,,,,,,,,,,,,130,0.6,2.1,0.9,k.A.
"Pizza Quattro Formaggi, gebacken",pro 100g essbarer Anteil,1250,297,10.6,5,3.9,0.8,20,37.2,0.2,36.6,1.8,12.3,1.1,38.6,,,,,,,,,,,,,,,,,,,,,180,0.5,6.8,1.2,k.A.
"Pizzateig (mit Olivenöl), ungebacken",pro 100g essbarer Anteil,967,229,3.6,0.5,2.2,0.6,0,41.2,0.2,40.6,2,7,0.7,46.8,,,,,,,,,,,,,,,,,,,,,44,0.4,0.6,0.4,1.4
"Plätzli (Durchschnitt aus Geflügel, Kalb, Rind, Schwein), gebraten (ohne Zusatz von Fett und Salz)",pro 100g essbarer Anteil,611,145,3.1,1.1,1.4,0.4,78,0.1,0,0,0,29.2,0.2,67.7,,,,,,,,,,,,,,,,,,,,,230,1.5,1.8,3,k.A.
"Plätzli (Durchschnitt aus Rind, Kalb, Schwein, Geflügel), paniert, gebraten",pro 100g essbarer Anteil,976,233,10.8,1.7,6.8,1.5,95,10.1,0.5,9.5,0.6,23.5,0.8,55.2,,,,,,,,,,,,,,,,,,,,,210,1.4,6.4,2.4,14
"Plätzli (Durchschnitt aus Rind, Kalb, Schwein, Geflügel), roh ",pro 100g essbarer Anteil,478,113,2.7,0.9,1.2,0.4,57,0.1,0,0,0,22.2,0.1,75.1,,,,,,,,,,,,,,,,,,,,,190,1.1,1.3,2.3,k.A.
"Polenta nera (aus Maisgriess und Buchweizenmehl), gekocht",pro 100g essbarer Anteil,466,111,4.7,2.7,1.2,0.3,12,12.6,0.2,12.3,0.8,4.1,1.1,77.7,,,,,,,,,,,,,,,,,,,,,84,0.5,4.6,0.5,k.A.
Pommes Chips,pro 100g essbarer Anteil,2240,538,34.8,2.5,25.7,4.7,0,49.3,2.5,46.8,3.8,4.9,1.2,7.2,,,,,,,,,,,,,,,,,,,,,92,0.9,8,0.6,k.A.
Pommes Chips fettreduziert,pro 100g essbarer Anteil,1960,468,22.1,2.5,6.6,11.9,0,59.2,3,56.3,4.5,5.9,1.2,8.3,,,,,,,,,,,,,,,,,,,,,110,1.1,9.6,0.8,k.A.
"Pommes Frites (im Ofen gebacken), ungesalzen",pro 100g essbarer Anteil,972,232,9.1,0.7,6.6,1.2,0,33,1.6,31.3,2.5,3.3,0,52.1,,,,,,,,,,,,,,,,,,,,,61,0.6,5.2,0.4,k.A.
"Pommes Frites (in HO Sonnenblumenöl frittiert), ungesalzen",pro 100g essbarer Anteil,1200,286,15.4,1.1,11.3,2.1,0,32.4,1.6,30.8,2.5,3.2,0,46.5,,,,,,,,,,,,,,,,,,,,,60,0.6,5.1,0.4,k.A.
Popcorn,pro 100g essbarer Anteil,1550,367,4.2,0.6,1.1,1.9,0,62.9,1.2,61.7,15,12,0,4.1,,,,,,,,,,,,,,,,,,,,,300,2.7,0,1.7,k.A.
"Portwein, 18.5 vol%",pro 100 ml,636,152,0,0,0,0,0,12,12,0,0,0.2,0,72.3,,,,,,,,,,,,,,,,,,,,,12,0.4,10,0.3,k.A.
"Poulet, Brust, mit Haut, roh",pro 100g essbarer Anteil,637,152,6.5,2.1,3.3,1.3,70,0,0,k.A.,0,23.3,0.1,69.9,,,,,,,,,,,,,,,,,,,,,210,0.3,10,0.5,k.A.
"Poulet, Brust, ohne Haut, roh",pro 100g essbarer Anteil,455,107,1,0.3,0.4,0.3,63,0,0,0,0,24.6,0.1,72.7,,,,,,,,,,,,,,,,,,,,,220,0.3,0.9,0.5,14
"Poulet, Brust, Schnitzel oder Geschnetzeltes, gebraten (ohne Zusatz von Fett und Salz)",pro 100g essbarer Anteil,542,128,0.8,0.2,0.3,0.2,79,0,0,0,0,30.1,0.1,69.1,,,,,,,,,,,,,,,,,,,,,230,0.4,1.2,0.6,18
"Poulet, ganz, mit Haut, gebraten (ohne Zusatz von Fett und Salz)",pro 100g essbarer Anteil,807,193,10.3,2.8,4.5,1.5,103,0,0,0,0,25.1,0.2,64.6,,,,,,,,,,,,,,,,,,,,,170,0.9,13,1.3,k.A.
"Poulet, ganz, mit Haut, roh",pro 100g essbarer Anteil,701,168,10.3,2.8,4.5,1.5,77,0,0,0,0,18.8,0.2,69.8,,,,,,,,,,,,,,,,,,,,,160,0.7,10,1,k.A.
"Poulet, Schenkel, mit Haut, gebraten (ohne Zusatz von Fett und Salz)",pro 100g essbarer Anteil,783,187,10.2,3.2,5,1.8,107,0,0,k.A.,0,23.9,0.2,65.9,,,,,,,,,,,,,,,,,,,,,190,0.6,11,1.3,37
"Poulet, Schenkel, mit Haut, roh",pro 100g essbarer Anteil,682,163,10.2,3.2,5,1.8,80,0,0,k.A.,0,17.9,0.2,68.9,,,,,,,,,,,,,,,,,,,,,180,0.5,8,1,28
"Poulet, Schenkel, ohne Haut, roh",pro 100g essbarer Anteil,564,135,6.2,1.9,3,1.5,86,0,0,k.A.,0,19.7,0.2,72.9,,,,,,,,,,,,,,,,,,,,,190,0.5,5,0.9,k.A.
"Preiselbeere, roh",pro 100g essbarer Anteil,168,40,0.5,0,0.1,0.3,0,7.1,7,0.1,2.9,0.3,0,87.5,,,,,,,,,,,,,,,,,,,,,10,0.5,5,0.2,k.A.
Prussien,pro 100g essbarer Anteil,1830,438,22.4,13.2,5.2,1.3,59,53.8,27.4,26,1.2,4.7,0.8,18.3,,,,,,,,,,,,,,,,,,,,,52,0.6,0.6,0.5,1
"Pudding, Caramel",pro 100g essbarer Anteil,527,125,2.1,1.4,0.6,0.1,12,23,20.1,2.9,0.1,3.4,0.2,69.3,,,,,,,,,,,,,,,,,,,,,77,Sp.,6.2,0.3,k.A.
"Pudding, Schokolade",pro 100g essbarer Anteil,511,121,2.6,0.5,1.1,0.9,3,21,12.1,8.9,1,3,0.3,71.2,,,,,,,,,,,,,,,,,,,,,80,0.5,3.2,0.4,k.A.
"Pudding, Vanille",pro 100g essbarer Anteil,429,102,2.1,0.3,0.9,0.8,7,18,10.4,7.6,0.1,2.8,0.3,76.2,,,,,,,,,,,,,,,,,,,,,40,0.1,5.9,0.3,k.A.
"Quark, mit Früchten, gezuckert",pro 100g essbarer Anteil,472,112,2.4,1.4,0.6,0.1,8,14.1,13.5,0,0.1,8.4,0.1,74.4,,,,,,,,,,,,,,,,,,,,,120,0,20,0.4,k.A.
"Quark, nature, halbfett",pro 100g essbarer Anteil,415,99,5,3,1.2,0.2,17,4.1,3.4,0,0,9.4,0.1,81.3,,,,,,,,,,,,,,,,,,,,,140,0,21,0.4,k.A.
"Quark, nature, mager",pro 100g essbarer Anteil,257,61,0.2,0.1,0,0,k.A.,4.2,3.5,0,0,10.6,0.1,83.8,,,,,,,,,,,,,,,,,,,,,150,0,27,0.5,k.A.
"Quark, nature, Rahm",pro 100g essbarer Anteil,758,183,15.6,9.4,3.7,0.7,53,3.7,3.2,0,0,6.9,0.1,72.8,,,,,,,,,,,,,,,,,,,,,110,0,8.5,0.3,k.A.
"Quarkblätterteig (mit Butter), ungebacken",pro 100g essbarer Anteil,1670,401,28.3,16.8,6.6,1.6,78,29,1.3,27.2,1.3,7.1,0.8,34.8,,,,,,,,,,,,,,,,,,,,,89,0.6,3.2,0.6,k.A.
"Quarkblätterteig (mit pflanzlichem Fett), ungebacken",pro 100g essbarer Anteil,1650,396,27.7,9.3,11.6,4.4,17,28.9,1.1,27.3,1.3,7.1,0.9,35.5,,,,,,,,,,,,,,,,,,,,,90,0.6,3.6,0.6,k.A.
"Quiche Lorraine, gebacken (mit Blätterteig)",pro 100g essbarer Anteil,1210,291,23.4,12.5,6.6,1.5,131,11.5,1.6,9.7,0.5,8.5,1.2,56.4,,,,,,,,,,,,,,,,,,,,,110,0.7,11,0.9,k.A.
"Quiche Lorraine, gebacken (mit Kuchenteig)",pro 100g essbarer Anteil,1230,295,22.2,11.7,6.3,1.5,127,14.5,1.6,12.8,0.6,9,1.2,53.9,,,,,,,,,,,,,,,,,,,,,120,0.7,11,1,k.A.
"Quinoa, gekocht (ohne Zugabe von Salz und Fett)",pro 100g essbarer Anteil,505,120,1.6,0.2,0.4,0.8,0,20.5,0.6,19.6,2.2,4.8,0,71,,,,,,,,,,,,,,,,,,,,,110,2.7,0.6,0.8,0.4
"Quinoa, roh",pro 100g essbarer Anteil,1550,368,5,0.5,1.3,2.6,k.A.,62.4,1.8,59.9,6.6,14.8,0,12.6,,,,,,,,,,,,,,,,,,,,,330,8,1.6,2.5,1.1
"Quitte, gekocht, abgetropft (ohne Zugabe von Zucker)",pro 100g essbarer Anteil,174,42,0.3,0,0.1,0.1,0,6.3,6.3,0,6.4,0.4,0,86.7,,,,,,,,,,,,,,,,,,,,,19,0.3,1.3,0.3,k.A.
"Quitte, roh",pro 100g essbarer Anteil,171,41,0.2,Sp.,0.1,0.1,0,6.3,6.3,Sp.,6.4,0.3,0,84.2,,,,,,,,,,,,,,,,,,,,,19,0.3,1,0.2,k.A.
Raclettekäse,pro 100g essbarer Anteil,1480,357,27.9,16.7,6.5,1.3,84,0,0,0,0,25.9,1.8,41.4,,,,,,,,,,,,,,,,,,,,,490,0.1,11,3.9,k.A.
"Radieschen, roh",pro 100g essbarer Anteil,72,17,0.1,0,0,0.1,0,2.1,2.1,0,1.6,1.1,0.1,94.1,,,,,,,,,,,,,,,,,,,,,18,0.4,1.2,0.2,k.A.
Rahm (Durchschnitt),pro 100g essbarer Anteil,1040,252,25.4,15.3,6,1.2,76,3.4,3.4,0,0,2.3,0.1,68.8,,,,,,,,,,,,,,,,,,,,,78,0,9.5,0.2,k.A.
"Rahmglace, Frucht",pro 100g essbarer Anteil,775,185,8,5,2.6,0.3,26,24.7,23.7,Sp.,0,3.5,0.2,59.8,,,,,,,,,,,,,,,,,,,,,99,0.5,Sp.,0.4,k.A.
Rahmkaramellen,pro 100g essbarer Anteil,1490,351,3.6,2.2,1.1,0.1,11,79.3,79.3,0,0,0.4,0.3,16,,,,,,,,,,,,,,,,,,,,,16,0.8,1.1,0.1,k.A.
"Rande, gedämpft (ohne Zugabe von Salz)",pro 100g essbarer Anteil,228,54,0.1,0,0,0.1,0,10,10,0,3,1.8,0.1,85.1,,,,,,,,,,,,,,,,,,,,,53,1,0.5,0.4,k.A.
"Rande, roh",pro 100g essbarer Anteil,192,46,0.1,0,0,0.1,0,8.4,8.4,0,2.5,1.5,0.1,86.2,,,,,,,,,,,,,,,,,,,,,45,0.9,0.4,0.4,k.A.
Rapsöl,pro 100 ml,3330,810,90,6.5,53.7,24.2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
"Rapsöl HOLL (high oleic, low linolenic)",pro 100 ml,3330,810,90,6.3,68.4,10.8,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
"Ratatouille, zubereitet",pro 100g essbarer Anteil,191,46,2.1,0.3,1.4,0.3,0,4.3,4,0.2,2,1.4,0.5,90.2,,,,,,,,,,,,,,,,,,,,,29,0.5,1.7,0.2,k.A.
Rauchsalami,pro 100g essbarer Anteil,2120,513,47,17.9,22,4.8,85,0.9,0.9,0,0,21.4,4,30.6,,,,,,,,,,,,,,,,,,,,,180,1.5,0.8,2.9,k.A.
Reblochon,pro 100g essbarer Anteil,1270,307,25.2,15.1,5.9,1.2,76,0,0,0,0,19.9,2,51.7,,,,,,,,,,,,,,,,,,,,,320,0.1,Sp.,2.2,k.A.
"Reh (Durchschnitt), roh",pro 100g essbarer Anteil,512,122,3.6,1.6,1.5,0.2,70,0,0,0,0,22.4,0.2,72.9,,,,,,,,,,,,,,,,,,,,,220,3,0.6,3,k.A.
"Reh, Ragout, roh",pro 100g essbarer Anteil,444,105,1.9,0.5,0.3,0.5,65,0,0,k.A.,0,22,0.1,74,,,,,,,,,,,,,,,,,,,,,180,2.7,0.8,4.7,k.A.
"Reh, Schnitzel, roh",pro 100g essbarer Anteil,445,105,1.7,0.7,0.5,0.5,75,0,0,k.A.,0,22.5,0.1,72.5,,,,,,,,,,,,,,,,,,,,,200,2.8,0.8,2.1,k.A.
Reibkäse,pro 100g essbarer Anteil,1680,406,32.1,20.3,7.5,1.2,89,0,0,0,0,29.3,1.7,38.1,,,,,,,,,,,,,,,,,,,,,730,0.5,40,4.2,k.A.
"Reis parboiled, gekocht in Salzwasser (unjodiert)",pro 100g essbarer Anteil,510,120,0.3,0.1,0.1,0.1,0,26.7,0.1,23.3,0.4,2.4,1.4,70.2,,,,,,,,,,,,,,,,,,,,,56,0.1,1,0.6,k.A.
"Reis parboiled, trocken",pro 100g essbarer Anteil,1510,356,1,0.2,0.3,0.3,0,78.6,0.4,72.1,1.3,7.5,0,11.3,,,,,,,,,,,,,,,,,,,,,170,0.4,2.2,1.7,k.A.
"Reis poliert, gekocht in Salzwasser (unjodiert)",pro 100g essbarer Anteil,491,116,0.3,0.1,0.1,0.1,0,25.8,0.1,24.5,0.3,2.3,1.3,71.4,,,,,,,,,,,,,,,,,,,,,37,0.1,0.9,0.3,4.3
"Reis poliert, trocken",pro 100g essbarer Anteil,1490,352,0.9,0.2,0.3,0.3,0,78,0.2,77.8,1,7.4,0,12.3,,,,,,,,,,,,,,,,,,,,,120,0.2,1.9,1.1,13
"Reis unpoliert, gekocht in Salzwasser (unjodiert)",pro 100g essbarer Anteil,532,126,1,0.2,0.3,0.3,0,25.7,0.2,25.5,1.8,2.7,1.5,69,,,,,,,,,,,,,,,,,,,,,59,0.4,1.1,0.6,k.A.
"Reis unpoliert, trocken",pro 100g essbarer Anteil,1480,350,2.8,0.6,0.9,1,0,71.4,0.6,70.8,5,7.4,0,12.6,,,,,,,,,,,,,,,,,,,,,160,1.1,2.2,1.6,k.A.
"Reisgetränk, nature",pro 100 ml,220,52,1.1,0.1,0.3,0.6,0,9.9,6.6,0.4,0.4,0.4,0.1,87.6,,,,,,,,,,,,,,,,,,,,,10,0,20,0.1,20
